ID_RSSD,predicted_lifespan,exists
5754906,2.31363906000458,1
5726378,2.3281971469856506,1
4389534,2.0236550308008177,1
5837416,1.4456308464522099,1
5826139,2.2572028291124715,1
3746037,1.5907551905087878,1
5807594,2.3463472507414855,1
5838196,1.6180789413643746,1
5842009,1.3387999087382971,1
2425344,2.3345197353410847,1
2731933,1.4784394250513466,1
5730393,0.881893299870715,0
2099482,1.6755646817248393,1
5837890,1.9055350216746558,1
125471,2.5051334702258896,1
5812730,1.6288021902806225,1
3503016,1.4784394250513466,1
5161362,7.084426192105843,1
4494009,2.3408624229979376,0
5759899,2.067122975131179,1
964700,1.3579739904175203,1
5741380,1.4056472364778672,1
2169666,1.5030800821355155,1
5785133,1.9246634725074065,1
5725755,2.3580978455721824,0
182559,2.2646041524070286,1
3437166,1.53056317156112,1
1729988,2.5050969655487276,1
5834170,1.470234998859226,1
5712764,2.3275154004106784,1
2992462,1.4291581108829527,1
5806980,1.7795938854665712,1
4841591,9.341811544604175,1
4868253,2.290257814282458,1
5743692,2.259968058407483,1
712059,1.5606388318503353,1
1043451,1.5906913073237547,1
1108097,2.131259150614386,1
2161914,1.5030800821355155,1
3969265,2.301578827287247,1
5808920,1.7138945927446907,1
2969839,2.2936436230892,1
5806636,1.884296194894407,1
5838897,1.4428199863107358,1
5734458,2.3297376226329005,1
5808005,1.5633127994524325,1
5834200,2.2536710015970765,1
5758575,2.143682409308693,1
2211583,1.5464932694501543,1
5685194,1.6899110198494218,1
103563,1.7916586812685311,1
1249347,1.8956422541638225,1
3264492,1.5934291581108908,1
5728989,2.428473648186165,1
68167,1.5030800821355155,1
5757934,2.0962172028291013,1
5792609,1.8249965776865236,1
5742613,1.4056472364778672,1
5612163,1.9345288615103804,0
5857544,1.2563906000456273,1
3785090,1.4291581108829527,1
5810820,1.6744786675792778,1
5605839,2.0072918092630636,1
5808809,1.6608167921515002,1
5720826,2.4584804928131385,1
4868936,2.397919233401768,1
5742985,1.4056472364778672,1
2741905,1.262149212867897,1
3391642,2.067232489162672,1
4932453,1.5906913073237547,1
5741689,1.4056472364778672,1
5608018,2.4859685147159487,0
5808256,1.7249555099247085,1
2096221,2.490349075975376,1
5741371,2.1545210351371265,0
5759189,2.129719370294317,1
3511468,1.5030800821355155,1
661223,1.8892908966461341,1
5759983,1.590700433493045,1
5742248,1.2813141683778289,1
2223830,2.323203285420947,1
5787249,1.8945379876796578,1
5808911,1.7138945927446907,1
4542209,1.5934291581108908,1
5726211,2.3538033310517887,1
2131168,1.4985698785712454,1
3548062,2.4870727812000877,1
5684816,2.0596668948208947,0
5653513,1.5906913073237547,1
5730179,1.4154049737622676,1
5353774,4.9220990189368,1
5735473,2.243997262149207,1
2111302,2.2547113848961846,1
5785348,1.9849418206707703,1
5307656,2.155519050878381,1
473967,1.5030800821355155,1
5835373,1.3896965548710876,1
5817454,1.262149212867897,1
5754102,2.234332648870629,1
4284497,1.7889938398357181,1
5202238,1.3169974903034463,1
5605361,2.4859685147159487,0
5721766,2.4463335614875734,1
5727722,2.306557152635183,1
5753897,2.258617385352502,1
3684906,1.300469997718453,1
788906,2.3408167921514855,1
5684067,1.9378676705452953,1
5811199,1.6372347707049932,1
5782954,1.9794200319415969,1
5620122,1.2949851699748953,1
4174383,1.262149212867897,1
4159764,1.6755646817248393,1
3005332,2.4724526579968105,1
27070,1.8303445128907154,1
1460290,1.5934291581108908,1
4174507,1.262149212867897,1
75606,2.3078439425051247,1
225858,1.5028793064111259,1
5826401,2.3408624229979376,1
5857834,1.2501574264202628,1
5850835,1.2813141683778289,1
927536,2.356887976271951,1
5741661,1.7590924893799686,1
5844526,1.2976682637462889,1
5783139,1.5140314852840628,1
5835234,1.4774903034451248,1
5851243,1.4291581108829527,1
5806627,1.7443577458361892,1
4176743,1.815195071868579,1
5728297,2.3504357745836217,1
5787306,1.8398266027834758,1
5191903,1.853963039014368,1
5471100,1.6783025325119674,1
3385137,1.539213628412803,1
5857638,1.867451517225652,1
4187468,1.9554369153547766,1
5308242,1.5140314852840628,1
5809945,2.1941044946383794,1
5809730,1.7165868126853676,1
5837872,2.121843486196669,1
5777932,2.014099931553724,1
5755042,2.1144567647729904,1
3677805,1.344284736481867,1
3505195,1.459310974218574,1
5724552,2.102231348391509,0
4494317,2.3408624229979376,1
5858112,1.3388090349075876,1
79127,13.021820670773385,1
1065565,1.357992242756101,1
5733442,2.2572127274961,1
964072,1.8425735797399052,1
5725504,0.7088021902806291,0
2741370,2.5051334702258896,1
671204,1.6180150581793336,1
4365631,1.5058179329226513,1
5741399,1.4056472364778672,1
5814725,1.6262833675564783,1
4173939,1.262149212867897,1
2569695,1.8425735797399052,1
276122,2.094464978325349,1
2697105,1.8072058711689143,1
3720215,1.7139734471931558,1
797047,1.5906821811544642,1
5838664,1.4510700433493076,1
1825152,2.3408624229979376,1
5618008,3.0439698836413513,1
5580459,1.492128678987,1
4027377,2.03475397368621,1
5835654,1.48939082819987,1
5765041,2.045758612822273,1
722937,1.5934291581108908,1
5835382,1.5058453114305228,1
5851515,1.2950946840063797,1
5544460,5.064421629021224,1
5858130,1.6208076659822128,1
5693069,2.4218663016199042,1
3279900,2.2220214464978243,1
2162733,1.6755646817248393,1
2556761,2.2191375770020456,1
3268847,1.5934291581108908,1
5517174,2.532548482774364,1
5121209,1.568788501026689,1
470434,1.9318457677389824,1
531867,1.5030800821355155,1
4120474,2.334510609171791,1
2466280,1.7987679671457935,1
5374603,5.087839379420493,1
5777615,2.1140892843562313,1
75633,1.6940365046771655,1
3600728,1.210130047912396,1
2881230,1.5030800821355155,1
3650572,12.582203969883592,1
5720684,1.7302213096052894,1
5752256,2.2920556696326657,1
5779132,2.256376910791698,1
5015335,8.407474332648869,1
5724730,2.1463198722336276,0
2747644,1.5961670088980204,0
3482166,2.3411674977999404,1
5830341,1.6618845539584848,1
5754401,2.0208473799495423,1
5813577,1.568788501026689,1
5807615,2.284359449256087,1
5657931,2.0683619829862123,1
3721995,1.5934291581108908,1
5811788,1.8944649783253351,1
